Product_ID,Product_Name,Category,Product_Description,Brand_Name,Storage_Size,RAM_Size,Word_Count,lightweight,pro,ram,storage,waterproof,16gb storage,adjustable height,battery life,long battery,rate monitor,Entities,Noun_Count,Verb_Count,Adjective_Count
1,Product_1,Electronics,"BrandX SuperWidget 2000 - High Performance, 32GB RAM, 256GB SSD",BrandX,32GB,32GB RAM,10,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,"[('32', 'CARDINAL'), ('GB', 'GPE'), ('RAM', 'ORG'), ('256', 'CARDINAL'), ('GB', 'GPE')]",1,0,0
2,Product_2,Electronics,"BrandY MegaPhone Pro - Lightweight, 128GB Storage, 6GB RAM",BrandY,128GB,6GB RAM,9,0.5233514547362399,0.5233514547362399,0.489569692723298,0.4610076199128802,0.0,0,0,0,0,0,"[('128', 'CARDINAL'), ('GB Storage', 'PERSON'), ('6', 'CARDINAL'), ('GB', 'GPE'), ('RAM', 'ORG')]",2,0,0
3,Product_3,Electronics,"BrandZ PowerTablet - 16GB Storage, 2GB RAM, 10-inch display",BrandZ,16GB,2GB RAM,9,0.0,0.0,0.7280247093453642,0.6855508898561783,0.0,1,0,0,0,0,"[('GB Storage', 'GPE'), ('2', 'CARDINAL'), ('GB', 'GPE'), ('RAM', 'ORG'), ('10-inch', 'QUANTITY')]",2,0,0
4,Product_4,Electronics,"BrandA UltraCamera - Professional, 64MP, 4K Video, 128GB Storage",BrandA,128GB,,9,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,"[('UltraCamera - Professional', 'ORG'), ('64MP', 'DATE'), ('4', 'CARDINAL'), ('K Video', 'ORG'), ('128', 'CARDINAL'), ('GB', 'GPE')]",1,0,0
5,Product_5,Electronics,"BrandB SmartWatch 3 - GPS, Heart Rate Monitor, 16GB Storage",BrandB,16GB,,10,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,"[('3', 'CARDINAL'), ('16', 'CARDINAL'), ('GB', 'GPE')]",1,0,0
6,Product_6,Electronics,"BrandC LightLaptop 2023 - 8GB RAM, 512GB SSD, Touchscreen",BrandC,8GB,8GB RAM,9,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,"[('GB', 'GPE'), ('RAM', 'ORG'), ('512', 'CARDINAL'), ('GB', 'GPE')]",0,0,0
7,Product_7,Electronics,"BrandD EcoVacuum Pro - 1200W, Cordless, Long Battery Life",BrandD,,,9,0.0,1.0,0.0,0.0,0.0,0,0,1,1,0,"[('EcoVacuum Pro - 1200W', 'ORG')]",1,0,0
8,Product_8,Electronics,"BrandE SoundMax Speaker - Wireless, 20W Output, Bluetooth",BrandE,,,8,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,"[('20W', 'CARDINAL')]",0,0,1
9,Product_9,Clothing,"BrandF ActiveRunner Shoes - Lightweight, Waterproof, Breathable",BrandF,,,7,0.7071067811865476,0.0,0.0,0.0,0.7071067811865476,0,0,0,0,0,"[('BrandF ActiveRunner', 'PERSON')]",0,0,0
10,Product_10,Clothing,"BrandG TravelBackpack - 40L, Water-Resistant, Padded Straps",BrandG,,,7,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,"[('TravelBackpack - 40L', 'PRODUCT'), ('Water-Resistant', 'ORG')]",1,0,1
11,Product_11,Clothing,"BrandH YogaMat Pro - Non-slip, Eco-Friendly, 5mm Thickness",BrandH,,,8,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,"[('YogaMat Pro - Non-slip', 'PERSON'), ('5mm', 'QUANTITY')]",3,0,1
12,Product_12,Clothing,"BrandI RunningShoes - Shock Absorbing, Comfortable Fit",BrandI,,,7,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,"[('Comfortable Fit', 'PERSON')]",0,0,0
13,Product_13,Electronics,"BrandJ ActionCamera X - 4K Video, Waterproof, 64GB Storage",BrandJ,64GB,,9,0.0,0.0,0.0,0.6609981779694486,0.7503875057069308,0,0,0,0,0,"[('ActionCamera X - 4', 'ORG'), ('Waterproof', 'GPE'), ('64', 'CARDINAL'), ('GB', 'GPE')]",1,0,0
14,Product_14,Furniture,"BrandK OfficeDesk 2024 - Ergonomic, Adjustable Height, 150x70cm",BrandK,,,8,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,"[('Adjustable Height', 'PERSON'), ('150x70cm', 'QUANTITY')]",1,0,0
15,Product_15,Furniture,"BrandL ChairMaster - Lumbar Support, Swivel, Adjustable Height",BrandL,,,8,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,"[('ChairMaster - Lumbar Support', 'ORG'), ('Adjustable Height', 'PERSON')]",0,0,0
16,Product_16,Electronics,"BrandM GamingLaptop - 16GB RAM, 1TB SSD, RGB Keyboard",BrandM,16GB,16GB RAM,9,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,"[('GamingLaptop', 'ORG'), ('GB', 'GPE'), ('RAM', 'ORG'), ('1TB SSD', 'TIME')]",0,0,0
17,Product_17,Electronics,"BrandN UltraMonitor - 27"", 144Hz, 4K UHD, 1ms Response Time",BrandN,,,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,"[('UltraMonitor - 27', 'LAW'), ('4', 'CARDINAL'), ('1ms', 'ORDINAL')]",0,0,0
18,Product_18,Electronics,"BrandO PowerBank 10000mAh - Fast Charging, Dual USB Ports",BrandO,,,9,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,[],2,0,2
